model,Afrikaans,Albanian,Arabic,Bulgarian,Croatian,Czech,Danish,Dutch,English,Estonian,Finnish,French,German,Greek,Hebrew,Hungarian,Indonesian,Italian,Japanese,Korean,Latvian,Lithuanian,Macedonian,Norwegian,Polish,Portuguese,Romanian,Russian,Slovak,Slovenian,Spanish,Swedish,Thai,Turkish,Ukrainian,Vietnamese
jwhj/Qwen2.5-Math-1.5B-OREO,0.48147937805172736,0.772485800026321,0.5978824670648251,0.44444309750305705,0.8557208824894518,0.9206317287889737,0.6880807850694766,0.6296269799993772,0.9629601535465449,0.793648388753719,0.9259239757872095,0.9259225321390538,0.8518492082112731,0.7777777460398627,0.6931215379438449,0.9629611172028347,0.8412670733242774,0.904759142756894,0.6984124299412838,0.11111105235517726,0.7460302634010818,0.9312145215986478,0.2962963195218344,0.5557595206803354,0.9100509097764556,0.36507815520134057,0.962960593507474,0.3809512737446636,0.8148118067964781,0.9576669995580744,0.8359756903242107,0.9259229623189101,0.3333332381056814,0.9047595257236375,0.5661366942881516,0.7089936827181562
nvidia/AceMath-1.5B-Instruct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999996980939113,0.005291028592279377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005290994438744695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,0.0,0.010581966783068388,0.2592590143673164,0.41269741349805633,0.21693010876802796,0.296294989122739,0.0,0.07407375678618636,0.9999969379492328,0.04232795723466038,0.22222161082845523,0.0,0.11111080306333525,0.11111110820681633,0.0,0.4444434259324356,0.0,0.037036941864763064,0.2592589656082129,0.00529100523273916,0.40740661354332425,0.18518479943008168,0.4074057326476549,0.0370368367961381,0.2539677328617041,0.037036865928005196,0.0370368998377721,0.6296276465655692,0.18518423223324212,0.296294888293276,0.0,0.14814774411934012,0.5925924220439941,0.48148035936623046,0.5555544369387467,0.18518507241363927
Qwen/Qwen2.5-Math-1.5B-Instruct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9629601595707286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRIME-RL/Eurus-2-7B-PRIME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999968950305499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037036980036621196,0.0,0.0,0.0,0.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999964859241216,0.0,0.0,0.0,0.0,0.0,0.005291004442564438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03703692384717981,0.0,0.0,0.0,0.0,0.015873012755512513,0.0,0.0,0.0
nvidia/AceMath-7B-Instruct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999970216591123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03703702776328152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qwen/Qwen2.5-Math-7B-Instruct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9629599787388682,0.0,0.0,0.037036929117719414,0.0,0.0,0.0,0.0,0.11111071888972074,0.015873080305916894,0.0,0.0,0.0,0.0,0.0,0.0,0.16931181934296247,0.0,0.031336984994037254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,0.0,0.0,0.0,0.07407384169870714,0.0,0.0,0.0,0.0,0.9999968296350571,0.037036976548292404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03703688025599137,0.0,0.0,0.0,0.0,0.3333324671528924,0.0,0.0,0.0,0.0,0.0,0.03703696126300923,0.005291039387446513,0.0
o3-mini,0.34391410135541567,0.33333270890268557,0.40740662238172254,0.48147977078181947,0.3281085161750462,0.43915208992704285,0.6243353839002483,0.3703689434662188,0.4444431944725559,0.3703693465072178,0.33333236830456403,0.37036904138546706,0.47618897411226757,0.30158724576724294,0.22222222184617152,0.4444435840921535,0.4179882915912079,0.5238089357627852,0.19047596785836488,0.3544968977059138,0.36507852174257643,0.32275047138184876,0.26454926041872756,0.7932922497369754,0.5185175567058631,0.4814798173020211,0.5132262627663514,0.4074063352609336,0.5132256116939333,0.3439137618316068,0.4444427835327587,0.4444428395988911,0.28571422991973433,0.3333326728261755,0.370369572448562,0.44444404672806503
