model,Afrikaans,Albanian,Arabic,Bengali,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,Estonian,Finnish,French,German,Greek,Gujarati,Hebrew,Hindi,Hungarian,Indonesian,Italian,Japanese,Kannada,Korean,Latvian,Lithuanian,Macedonian,Malayalam,Marathi,Nepali,Norwegian,Persian,Polish,Portuguese,Punjabi,Romanian,Russian,Slovak,Slovenian,Somali,Spanish,Swahili,Swedish,Tagalog,Tamil,Telugu,Thai,Turkish,Ukrainian,Urdu,Vietnamese,Welsh
jwhj/Qwen2.5-Math-1.5B-OREO,0.4184687345212638,0.7445876948558396,0.4054825303577616,0.39826838253892205,0.23520835650749491,0.7518011164549522,0.6269986680496492,0.6352350920759774,0.49374785935398513,0.49205531163910304,0.9076452793921149,0.5483193584481041,0.7431438370821448,0.8037489041944554,0.5974006031312715,0.48917744392408674,0.46753244262947774,0.5021643157422768,0.6796522327662053,0.8326102681437102,0.7763065302867401,0.7835472953324641,0.7373734525420588,0.09235208913143625,0.14285701281474544,0.6046162500220649,0.7417006634559716,0.14544604751792164,0.3347762883535013,0.4675313461982671,0.14862881138153233,0.4099552253826955,0.3564205170333004,0.6984112046003925,0.6911954553266174,0.32756130644211096,0.6839808980277582,0.2554104300551348,0.5771981359275996,0.6915730938403924,0.05339098407558564,0.7372658540386023,0.14429985801153186,0.7358515248792675,0.5223652558268088,0.24242422755241763,0.27994225705389914,0.31457417662870707,0.6450203488232276,0.3636357618962973,0.42568498013427725,0.5194798918385257,0.34054777220231575
nvidia/AceMath-1.5B-Instruct,0.0,0.0418469679743623,0.0,0.0,0.0,0.07708525696840622,0.01875893391022634,0.030302948658892697,0.020201918403178976,0.0,0.9711372597574547,0.00432903806237621,0.007215018893818057,0.012986977796514837,0.0,0.020202020073006786,0.03030303028914439,0.0,0.020201967048911765,0.020201958767106284,0.0,0.09090874558146064,0.020202011969095254,0.0,0.0,0.0,0.012986988745963006,0.0,0.02020202019523923,0.014430002040623183,0.0,0.0,0.040403970454430005,0.02741697579282097,0.015872937492752485,0.020202020109613826,0.023087964571444537,0.0,0.021613938228678933,0.020201914712813636,0.020201967400346892,0.030302921392559187,0.004329015397381205,0.04617583618087477,0.0014429992061660835,0.010101010085288182,0.020202019764774554,0.0,0.0,0.0,0.020202001967170043,0.0,0.02453096968925113
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,0.08857127918027372,0.06349196249445122,0.3333326238320321,0.05194802010705681,0.6363617331157488,0.20634830084578756,0.41941112468667835,0.484923524384272,0.0622248043547151,0.30460803032100375,0.9999970600886059,0.060605889411329765,0.27272640026577716,0.48628970932266996,0.5281367932546419,0.16017307693748065,0.05050505047184472,0.0014429970974202794,0.13852778207373895,0.46753166886508596,0.3261174701178002,0.5310227403955718,0.6190472913017475,0.0,0.010101007315117748,0.2582967069525914,0.15151474628173336,0.43577105025659796,0.011544011629586126,0.06060589888864997,0.02885993725687644,0.02307565214200694,0.43578555967270993,0.48051856334167037,0.5627688322490687,0.017315994023195627,0.3419904966450825,0.6435755523474983,0.2844534128686493,0.3477617005138988,0.0028860263277626728,0.6075012203548885,0.02020197093356089,0.434342111706033,0.010100970065696246,0.0,0.06926402166227212,0.15295813201588562,0.5396815222984437,0.542567408045678,0.331889907578394,0.5541120409048242,0.010101002026634276
Qwen/Qwen2.5-Math-1.5B-Instruct,0.0,0.020202003855359064,0.0,0.0,0.0,0.09090875132578605,0.0,0.0,0.0,0.0,0.9999971731150504,0.0,0.01010095614209647,0.07503586118212498,0.0,0.11111108270556569,0.0,0.0,0.010084862291866106,0.01010099955424382,0.0,0.04617591439659911,0.0,0.0,0.005772031780369432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01838957238323926,0.0,0.0,0.0,0.003383122827713872,0.0,0.010100983412882592,0.011544008438512863,0.025973972104806328,0.010052010775399155,0.020201959634979765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01731598464235277
PRIME-RL/Eurus-2-7B-PRIME,0.0,0.0,0.0,0.0,0.0,0.0202019444236463,0.0,0.0014430052931843703,0.010100969344181686,0.0,0.9999969937645493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010100972328182922,0.0,0.02020194808379579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,0.2655115571941431,0.4949489051030982,0.26262565396097054,0.19480519238737473,0.5815275877442656,0.4300126205654052,0.5483378210100904,0.5324657207084407,0.5569958715941563,0.5440094796817712,0.9999970833199706,0.41558304106364535,0.6002868862342853,0.6161594227771074,0.6176025906935898,0.6883116704480802,0.2770562487328373,0.1168830762360397,0.2929286826597209,0.5757565019700821,0.5468960753728838,0.5122637444174213,0.43434333664935965,0.47186143249592777,0.16450203569928978,0.6075026808049899,0.409811262507405,0.17171664176253643,0.3780663157486168,0.27272672377935797,0.3333323800879511,0.47508961825428886,0.686867081631794,0.6334764690062781,0.5901855182126597,0.22510819194732265,0.613274105942081,0.767674489280024,0.4516563440028393,0.45021444830632623,0.011543995638656558,0.5440093582332141,0.2409807106247747,0.5887430079984312,0.36219227361883816,0.28282827269115157,0.3896103373573286,0.343434181607798,0.6363623981237552,0.40403949360715247,0.2207789758271993,0.59595916944195,0.3867237981972158
nvidia/AceMath-7B-Instruct,0.020201912383375223,0.01587301026355923,0.02020199349606475,0.03030301808221451,0.01010097087235954,0.14141369334291448,0.010100977931671676,0.07070679119136995,0.03896089035694729,0.08080775242442906,0.7777756400664959,0.0,0.0,0.07070680100504424,0.1717166866686091,0.0,0.020202020073877513,0.0,0.010100977818929654,0.020201945025594754,0.14141374316086278,0.05050488992412935,0.15007212436295916,0.01010099871769833,0.02164498447036607,0.02020197023735718,0.014429972230106648,0.0,0.020201997465317388,0.010100951856177483,0.010100979411938306,0.06060569122702444,0.0,0.15151480009267343,0.06060589703706472,0.08080808041824745,0.030302975098571324,0.12121179398081361,0.050504822177979594,0.010100962691761748,0.0,0.13131253226252834,0.0,0.060605874320038694,0.008657975053787152,0.0,0.32323230231936473,0.04040403875605123,0.08080793696534286,0.020201963788602815,0.010100969115456515,0.05050502054894009,0.0
Qwen/Qwen2.5-Math-7B-Instruct,0.0,0.0,0.0,0.007215006167599648,0.0,0.0,0.0,0.01154401768318721,0.0,0.0,0.9797952053299263,0.0,0.0,0.004329005525370077,0.0,0.0,0.020202019250932853,0.0,0.0,0.0,0.06926389887698628,0.015873006960274563,0.007214993929786096,0.06926404779513777,0.005771998055416098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05050496404993507,0.0,0.010101010097119908,0.01153649892391826,0.0,0.011543992198588841,0.0,0.031746024127974254,0.0,0.01298700961971105,0.010100940517000903,0.00577199089905027,0.030303028746074913,0.020202020169734786,0.0,0.0014430330133240914,0.0,0.0,0.0,0.011544053677245855
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,0.35786314377935485,0.4444437764393914,0.6161605960785448,0.5266954992038787,0.8124071138445675,0.4380917211945331,0.4848466967154755,0.4545439478808551,0.4646303013813826,0.4242408419852303,0.9999970031572377,0.36940719299659724,0.4531010686814536,0.5367947183772303,0.46464494119736205,0.6161615938640674,0.4978354519718155,0.33189031757590154,0.7777760277490243,0.5209226634647116,0.4646452675300778,0.4646448003627035,0.43578628035387856,0.2683982340630806,0.4343429472297803,0.5959583435677821,0.5858571920283195,0.5901856621929429,0.31601730055142313,0.44011428198036456,0.45454419927318046,0.43142637853589194,0.9191897676099094,0.5555544537565332,0.5454527890554434,0.4444444320288275,0.5079353614429539,0.8210653479264152,0.3794573069970973,0.44705230971781773,0.036074961130879664,0.5252505326049581,0.37517957236698696,0.545452971666138,0.1919186634693733,0.36219328954519964,0.585858549759123,0.434343392166923,0.652235405049326,0.6608932072898571,0.515150848137486,0.5555550071152929,0.04040397451422976
o3-mini,0.1803998748375665,0.1313129640533874,0.18181787825468426,0.1111110945514844,0.15151469192836914,0.16161551384693493,0.15151447818952785,0.14141370872037198,0.131312528809287,0.11111065873072638,0.10533874161548087,0.14285675634293998,0.16161565062579375,0.14141369518326258,0.14141373780546107,0.07070706961873295,0.13131311504837498,0.05050503663103063,0.11976884930835695,0.1399709141635325,0.17171669779385748,0.1457428008771051,0.14141407117194932,0.14141409834433855,0.1038960419635134,0.13131279234892185,0.17171665039583905,0.13131276700231292,0.18181817394957425,0.1515146884591488,0.17171663988364633,0.1341264598564237,0.15440082628820528,0.11111092579043941,0.12121171451933166,0.10101009288158441,0.16161578072178012,0.19047559557202684,0.1010096850365966,0.13852749204400316,0.16161583641906732,0.12121160810643584,0.12554083462330987,0.15007159847321289,0.13131271334038927,0.26262624581570276,0.12121210183059387,0.19191914140259195,0.13131286428636385,0.10100988160727983,0.1616160226309469,0.14141401339496443,0.14141382849403974
