model,Afrikaans,Albanian,Arabic,Bulgarian,Chinese_(Simplified),Chinese_(Traditional),Croatian,Czech,Danish,Dutch,English,Estonian,Finnish,French,German,Greek,Hebrew,Hungarian,Indonesian,Italian,Japanese,Korean,Latvian,Lithuanian,Macedonian,Norwegian,Polish,Portuguese,Romanian,Russian,Slovak,Slovenian,Spanish,Swedish,Thai,Turkish,Ukrainian,Vietnamese
PRIME-RL_Eurus-2-7B-PRIME,16.666666666666664,20.0,18.51851851851852,14.814814814814813,14.814814814814813,7.4074074074074066,18.51851851851852,25.925925925925924,25.925925925925924,22.22222222222222,18.51851851851852,20.0,28.000000000000004,29.629629629629626,14.814814814814813,15.789473684210526,7.4074074074074066,24.0,23.809523809523807,16.0,8.0,7.4074074074074066,20.0,22.22222222222222,14.814814814814813,14.814814814814813,29.629629629629626,16.0,11.11111111111111,12.0,11.11111111111111,14.814814814814813,18.51851851851852,20.0,22.22222222222222,18.51851851851852,18.51851851851852,14.814814814814813
Qwen_Qwen2.5-Math-1.5B-Instruct,11.11111111111111,4.0,11.11111111111111,7.4074074074074066,18.51851851851852,18.51851851851852,7.4074074074074066,14.814814814814813,22.22222222222222,11.11111111111111,18.51851851851852,4.0,8.0,18.51851851851852,11.11111111111111,5.263157894736842,3.7037037037037033,8.0,14.285714285714285,20.0,8.0,3.7037037037037033,12.0,18.51851851851852,11.11111111111111,11.11111111111111,14.814814814814813,24.0,25.925925925925924,16.0,11.11111111111111,14.814814814814813,18.51851851851852,8.0,3.7037037037037033,7.4074074074074066,11.11111111111111,7.4074074074074066
Qwen_Qwen2.5-Math-7B-Instruct,27.77777777777778,20.0,14.814814814814813,29.629629629629626,7.4074074074074066,11.11111111111111,22.22222222222222,11.11111111111111,18.51851851851852,18.51851851851852,22.22222222222222,20.0,16.0,25.925925925925924,25.925925925925924,10.526315789473683,7.4074074074074066,20.0,19.047619047619047,12.0,16.0,14.814814814814813,20.0,25.925925925925924,22.22222222222222,22.22222222222222,22.22222222222222,20.0,14.814814814814813,20.0,18.51851851851852,14.814814814814813,14.814814814814813,24.0,14.814814814814813,7.4074074074074066,14.814814814814813,14.814814814814813
deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B,16.666666666666664,8.0,14.814814814814813,14.814814814814813,29.629629629629626,25.925925925925924,22.22222222222222,22.22222222222222,33.33333333333333,22.22222222222222,33.33333333333333,20.0,28.000000000000004,29.629629629629626,18.51851851851852,21.052631578947366,11.11111111111111,20.0,28.57142857142857,20.0,20.0,22.22222222222222,20.0,18.51851851851852,14.814814814814813,18.51851851851852,22.22222222222222,32.0,33.33333333333333,16.0,29.629629629629626,25.925925925925924,29.629629629629626,24.0,7.4074074074074066,22.22222222222222,14.814814814814813,22.22222222222222
deepseek-ai_DeepSeek-R1-Distill-Qwen-32B,33.33333333333333,28.000000000000004,14.814814814814813,37.03703703703704,40.74074074074074,37.03703703703704,33.33333333333333,37.03703703703704,40.74074074074074,22.22222222222222,25.925925925925924,32.0,32.0,33.33333333333333,33.33333333333333,36.84210526315789,11.11111111111111,28.000000000000004,33.33333333333333,36.0,28.000000000000004,25.925925925925924,36.0,33.33333333333333,40.74074074074074,29.629629629629626,40.74074074074074,28.000000000000004,37.03703703703704,40.0,25.925925925925924,33.33333333333333,33.33333333333333,32.0,18.51851851851852,33.33333333333333,25.925925925925924,37.03703703703704
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,16.666666666666664,24.0,33.33333333333333,37.03703703703704,37.03703703703704,37.03703703703704,33.33333333333333,18.51851851851852,29.629629629629626,25.925925925925924,33.33333333333333,16.0,32.0,37.03703703703704,25.925925925925924,26.31578947368421,18.51851851851852,28.000000000000004,23.809523809523807,28.000000000000004,24.0,25.925925925925924,28.000000000000004,29.629629629629626,29.629629629629626,22.22222222222222,25.925925925925924,28.000000000000004,37.03703703703704,28.000000000000004,22.22222222222222,33.33333333333333,29.629629629629626,24.0,33.33333333333333,22.22222222222222,33.33333333333333,44.44444444444444
jwhj_Qwen2.5-Math-1.5B-OREO,5.555555555555555,0.0,3.7037037037037033,3.7037037037037033,7.4074074074074066,3.7037037037037033,0.0,7.4074074074074066,0.0,0.0,14.814814814814813,0.0,0.0,7.4074074074074066,0.0,0.0,3.7037037037037033,4.0,0.0,0.0,0.0,7.4074074074074066,4.0,0.0,0.0,7.4074074074074066,7.4074074074074066,8.0,11.11111111111111,4.0,7.4074074074074066,3.7037037037037033,0.0,0.0,7.4074074074074066,0.0,3.7037037037037033,0.0
nvidia_AceMath-1.5B-Instruct,5.555555555555555,8.0,7.4074074074074066,3.7037037037037033,18.51851851851852,11.11111111111111,22.22222222222222,7.4074074074074066,14.814814814814813,0.0,11.11111111111111,8.0,8.0,11.11111111111111,7.4074074074074066,21.052631578947366,7.4074074074074066,16.0,4.761904761904762,12.0,16.0,7.4074074074074066,8.0,11.11111111111111,3.7037037037037033,7.4074074074074066,11.11111111111111,12.0,11.11111111111111,16.0,14.814814814814813,14.814814814814813,7.4074074074074066,12.0,3.7037037037037033,3.7037037037037033,11.11111111111111,7.4074074074074066
nvidia_AceMath-7B-Instruct,5.555555555555555,16.0,11.11111111111111,18.51851851851852,14.814814814814813,14.814814814814813,14.814814814814813,18.51851851851852,14.814814814814813,18.51851851851852,7.4074074074074066,12.0,24.0,22.22222222222222,14.814814814814813,15.789473684210526,11.11111111111111,24.0,14.285714285714285,12.0,20.0,11.11111111111111,12.0,14.814814814814813,14.814814814814813,11.11111111111111,18.51851851851852,12.0,14.814814814814813,12.0,7.4074074074074066,14.814814814814813,18.51851851851852,24.0,11.11111111111111,25.925925925925924,18.51851851851852,22.22222222222222
o3-mini,33.33333333333333,28.000000000000004,22.22222222222222,40.74074074074074,25.925925925925924,29.629629629629626,33.33333333333333,29.629629629629626,40.74074074074074,33.33333333333333,29.629629629629626,28.000000000000004,28.000000000000004,29.629629629629626,33.33333333333333,21.052631578947366,7.4074074074074066,28.000000000000004,33.33333333333333,36.0,16.0,25.925925925925924,32.0,33.33333333333333,33.33333333333333,22.22222222222222,37.03703703703704,36.0,40.74074074074074,20.0,33.33333333333333,29.629629629629626,29.629629629629626,28.000000000000004,22.22222222222222,33.33333333333333,29.629629629629626,37.03703703703704
