model,Chinese,Czech,Dutch,English,French,German,Japanese,Korean,Polish,Russian,Slovakia
PRIME-RL_Eurus-2-7B-PRIME,50.0,53.333333333333336,20.0,60.0,58.06451612903226,30.0,7.142857142857142,46.666666666666664,40.0,43.333333333333336,20.0
Qwen_Qwen2.5-Math-1.5B-Instruct,40.0,6.666666666666667,20.0,56.666666666666664,51.61290322580645,10.0,0.0,36.666666666666664,26.666666666666668,20.0,6.666666666666667
Qwen_Qwen2.5-Math-7B-Instruct,56.666666666666664,16.666666666666664,23.333333333333332,46.666666666666664,48.38709677419355,26.666666666666668,3.571428571428571,40.0,33.33333333333333,43.333333333333336,23.333333333333332
deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B,30.0,16.666666666666664,16.666666666666664,56.666666666666664,64.51612903225806,13.333333333333334,0.0,33.33333333333333,33.33333333333333,23.333333333333332,6.666666666666667
deepseek-ai_DeepSeek-R1-Distill-Qwen-32B,56.666666666666664,36.666666666666664,30.0,73.33333333333333,64.51612903225806,30.0,14.285714285714285,46.666666666666664,36.666666666666664,43.333333333333336,43.333333333333336
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,53.333333333333336,30.0,33.33333333333333,70.0,54.83870967741935,30.0,3.571428571428571,50.0,30.0,43.333333333333336,30.0
jwhj_Qwen2.5-Math-1.5B-OREO,26.666666666666668,3.3333333333333335,3.3333333333333335,26.666666666666668,38.70967741935484,13.333333333333334,3.571428571428571,10.0,0.0,26.666666666666668,0.0
nvidia_AceMath-1.5B-Instruct,30.0,13.333333333333334,10.0,50.0,48.38709677419355,20.0,7.142857142857142,26.666666666666668,30.0,50.0,26.666666666666668
nvidia_AceMath-7B-Instruct,46.666666666666664,36.666666666666664,16.666666666666664,56.666666666666664,54.83870967741935,33.33333333333333,3.571428571428571,43.333333333333336,26.666666666666668,43.333333333333336,23.333333333333332
o3-mini,66.66666666666666,53.333333333333336,40.0,80.0,67.74193548387096,43.333333333333336,17.857142857142858,60.0,40.0,50.0,46.666666666666664
